Rank,Package,Score,Tier,Launch_Reachable,Launch_Path,Standalone,Internal_Recursive_Dependent_Count,Internal_Direct_Dependent_Count,Internal_Prerequisite_Count,Internal_Prerequisites,External_Manifest_Dependent_Count,External_High_Reference_Count,External_Review_Reference_Count,Source_Path
1,autoware_adapi_visualizers,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/system/autoware_default_adapi_helpers/autoware_adapi_visualizers
2,autoware_bag_time_manager_rviz_plugin,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/visualization/autoware_bag_time_manager_rviz_plugin
3,autoware_behavior_velocity_template_module,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/planning/behavior_velocity_planner/autoware_behavior_velocity_template_module
4,autoware_bluetooth_monitor,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/system/autoware_bluetooth_monitor
5,autoware_cluster_merger,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/perception/autoware_cluster_merger
6,autoware_component_monitor,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/system/autoware_component_monitor
7,autoware_control_performance_analysis,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/control/autoware_control_performance_analysis
8,autoware_diagnostic_graph_merger,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/system/autoware_diagnostic_graph_merger
9,autoware_driving_mode_manager,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/system/autoware_driving_mode_manager
10,autoware_generic_service_divider,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/system/autoware_generic_service_divider
11,autoware_goal_distance_calculator,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/common/autoware_goal_distance_calculator
12,autoware_image_diagnostics,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/sensing/autoware_image_diagnostics
13,autoware_kinematic_evaluator,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/evaluator/autoware_kinematic_evaluator
14,autoware_localization_evaluator,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/evaluator/autoware_localization_evaluator
15,autoware_motion_velocity_dynamic_obstacle_stop_module,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/planning/motion_velocity_planner/autoware_motion_velocity_dynamic_obstacle_stop_module
16,autoware_motion_velocity_road_user_stop_module,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/planning/motion_velocity_planner/autoware_motion_velocity_road_user_stop_module
17,autoware_mrm_in_lane_stop_operator,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/system/autoware_mrm_in_lane_stop_operator
18,autoware_mrm_reset_manager,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/system/autoware_mrm_reset_manager
19,autoware_mrm_steering_hold_stop_operator,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/system/autoware_mrm_steering_hold_stop_operator
20,autoware_polar_grid,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/common/autoware_polar_grid
