Package,Dependent_Count,Dependents
autoware_universe_utils,34,autoware_behavior_path_avoidance_by_lane_change_module;autoware_behavior_path_bidirectional_traffic_module;autoware_behavior_path_dynamic_obstacle_avoidance_module;autoware_behavior_path_external_request_lane_change_module;autoware_behavior_path_goal_planner_module;autoware_behavior_path_lane_change_module;autoware_behavior_path_planner;autoware_behavior_path_planner_common;autoware_behavior_path_sampling_planner_module;autoware_behavior_path_side_shift_module;autoware_behavior_path_start_planner_module;autoware_behavior_path_static_obstacle_avoidance_module;autoware_bevfusion;autoware_boundary_departure_checker;autoware_command_mode_decider;autoware_command_mode_decider_plugins;autoware_control_evaluator;autoware_image_object_locator;autoware_lane_departure_checker;autoware_motion_velocity_boundary_departure_prevention_module;autoware_motion_velocity_road_user_stop_module;autoware_motion_velocity_run_out_module;autoware_pipeline_latency_monitor;autoware_radar_objects_adapter;autoware_surround_obstacle_checker;autoware_tracking_object_merger;autoware_trajectory_concatenator;autoware_trajectory_safety_filter;autoware_trajectory_traffic_rule_filter;tier4_control_launch;tier4_perception_launch;tier4_planning_launch;tier4_simulator_launch;tier4_system_launch
autoware_cuda_dependency_meta,31,autoware_bevfusion;autoware_bytetrack;autoware_calibration_status_classifier;autoware_camera_streampetr;autoware_cuda_pointcloud_preprocessor;autoware_cuda_utils;autoware_detected_object_validation;autoware_detection_by_tracker;autoware_diffusion_planner;autoware_dummy_perception_publisher;autoware_ground_segmentation_cuda;autoware_image_projection_based_fusion;autoware_lidar_apollo_instance_segmentation;autoware_lidar_centerpoint;autoware_lidar_frnet;autoware_lidar_transfusion;autoware_probabilistic_occupancy_grid_map;autoware_ptv3;autoware_raindrop_cluster_filter;autoware_shape_estimation;autoware_simpl_prediction;autoware_tensorrt_bevformer;autoware_tensorrt_classifier;autoware_tensorrt_common;autoware_tensorrt_plugins;autoware_tensorrt_vad;autoware_tensorrt_yolox;autoware_traffic_light_classifier;autoware_traffic_light_fine_detector;tier4_perception_launch;tier4_simulator_launch
autoware_cuda_utils,27,autoware_bevfusion;autoware_bytetrack;autoware_calibration_status_classifier;autoware_camera_streampetr;autoware_cuda_pointcloud_preprocessor;autoware_detected_object_validation;autoware_detection_by_tracker;autoware_diffusion_planner;autoware_dummy_perception_publisher;autoware_ground_segmentation_cuda;autoware_image_projection_based_fusion;autoware_lidar_apollo_instance_segmentation;autoware_lidar_centerpoint;autoware_lidar_frnet;autoware_probabilistic_occupancy_grid_map;autoware_ptv3;autoware_raindrop_cluster_filter;autoware_shape_estimation;autoware_simpl_prediction;autoware_tensorrt_classifier;autoware_tensorrt_plugins;autoware_tensorrt_vad;autoware_tensorrt_yolox;autoware_traffic_light_classifier;autoware_traffic_light_fine_detector;tier4_perception_launch;tier4_simulator_launch
autoware_traffic_light_utils,23,autoware_behavior_path_avoidance_by_lane_change_module;autoware_behavior_path_bidirectional_traffic_module;autoware_behavior_path_dynamic_obstacle_avoidance_module;autoware_behavior_path_external_request_lane_change_module;autoware_behavior_path_goal_planner_module;autoware_behavior_path_lane_change_module;autoware_behavior_path_planner;autoware_behavior_path_planner_common;autoware_behavior_path_sampling_planner_module;autoware_behavior_path_side_shift_module;autoware_behavior_path_start_planner_module;autoware_behavior_path_static_obstacle_avoidance_module;autoware_behavior_velocity_traffic_light_module;autoware_diffusion_planner;autoware_motion_velocity_out_of_lane_module;autoware_planning_validator_intersection_collision_checker;autoware_traffic_light_classifier;autoware_traffic_light_map_based_detector;autoware_traffic_light_occlusion_predictor;autoware_trajectory_traffic_rule_filter;tier4_perception_launch;tier4_planning_launch;tier4_simulator_launch
autoware_rtc_interface,22,autoware_behavior_path_avoidance_by_lane_change_module;autoware_behavior_path_bidirectional_traffic_module;autoware_behavior_path_dynamic_obstacle_avoidance_module;autoware_behavior_path_external_request_lane_change_module;autoware_behavior_path_goal_planner_module;autoware_behavior_path_lane_change_module;autoware_behavior_path_planner;autoware_behavior_path_planner_common;autoware_behavior_path_sampling_planner_module;autoware_behavior_path_side_shift_module;autoware_behavior_path_start_planner_module;autoware_behavior_path_static_obstacle_avoidance_module;autoware_behavior_velocity_blind_spot_module;autoware_behavior_velocity_crosswalk_module;autoware_behavior_velocity_detection_area_module;autoware_behavior_velocity_intersection_module;autoware_behavior_velocity_no_stopping_area_module;autoware_behavior_velocity_roundabout_module;autoware_behavior_velocity_rtc_interface;autoware_behavior_velocity_traffic_light_module;autoware_behavior_velocity_walkway_module;tier4_planning_launch
autoware_tensorrt_common,22,autoware_bevfusion;autoware_bytetrack;autoware_calibration_status_classifier;autoware_camera_streampetr;autoware_detection_by_tracker;autoware_diffusion_planner;autoware_dummy_perception_publisher;autoware_image_projection_based_fusion;autoware_lidar_apollo_instance_segmentation;autoware_lidar_centerpoint;autoware_lidar_frnet;autoware_lidar_transfusion;autoware_ptv3;autoware_shape_estimation;autoware_simpl_prediction;autoware_tensorrt_classifier;autoware_tensorrt_vad;autoware_tensorrt_yolox;autoware_traffic_light_classifier;autoware_traffic_light_fine_detector;tier4_perception_launch;tier4_simulator_launch
autoware_auto_common,20,autoware_behavior_path_avoidance_by_lane_change_module;autoware_behavior_path_bidirectional_traffic_module;autoware_behavior_path_dynamic_obstacle_avoidance_module;autoware_behavior_path_external_request_lane_change_module;autoware_behavior_path_goal_planner_module;autoware_behavior_path_lane_change_module;autoware_behavior_path_planner;autoware_behavior_path_sampling_planner_module;autoware_behavior_path_side_shift_module;autoware_behavior_path_start_planner_module;autoware_behavior_path_static_obstacle_avoidance_module;autoware_fake_test_node;autoware_frenet_planner;autoware_path_optimizer;autoware_path_sampler;autoware_path_smoother;autoware_trajectory_follower_node;autoware_trajectory_optimizer;tier4_control_launch;tier4_planning_launch
autoware_boundary_departure_checker,19,autoware_behavior_path_avoidance_by_lane_change_module;autoware_behavior_path_bidirectional_traffic_module;autoware_behavior_path_dynamic_obstacle_avoidance_module;autoware_behavior_path_external_request_lane_change_module;autoware_behavior_path_goal_planner_module;autoware_behavior_path_lane_change_module;autoware_behavior_path_planner;autoware_behavior_path_planner_common;autoware_behavior_path_sampling_planner_module;autoware_behavior_path_side_shift_module;autoware_behavior_path_start_planner_module;autoware_behavior_path_static_obstacle_avoidance_module;autoware_control_evaluator;autoware_lane_departure_checker;autoware_motion_velocity_boundary_departure_prevention_module;autoware_trajectory_safety_filter;autoware_trajectory_traffic_rule_filter;tier4_control_launch;tier4_planning_launch
autoware_fake_test_node,18,autoware_behavior_path_avoidance_by_lane_change_module;autoware_behavior_path_bidirectional_traffic_module;autoware_behavior_path_dynamic_obstacle_avoidance_module;autoware_behavior_path_external_request_lane_change_module;autoware_behavior_path_goal_planner_module;autoware_behavior_path_lane_change_module;autoware_behavior_path_planner;autoware_behavior_path_sampling_planner_module;autoware_behavior_path_side_shift_module;autoware_behavior_path_start_planner_module;autoware_behavior_path_static_obstacle_avoidance_module;autoware_path_optimizer;autoware_path_sampler;autoware_path_smoother;autoware_trajectory_follower_node;autoware_trajectory_optimizer;tier4_control_launch;tier4_planning_launch
autoware_component_interface_utils,15,autoware_automatic_pose_initializer;autoware_control_command_gate;autoware_default_adapi_universe;autoware_geo_pose_projector;autoware_operation_mode_transition_manager;autoware_predicted_path_checker;autoware_smart_mpc_trajectory_follower;autoware_stop_mode_operator;autoware_vehicle_cmd_gate;tier4_adapi_rviz_plugin;tier4_autoware_api_launch;tier4_camera_view_rviz_plugin;tier4_control_launch;tier4_localization_launch;tier4_simulator_launch
