Package,Status,Rank,Standalone,Internal_Dependent_Count,Internal_Prerequisites,Internal_Nonmanifest_References,External_Manifest_Dependents,External_High_References,External_Review_References
autoware_adapi_visualizers,eligible,1,True,0,,,,,
autoware_bag_time_manager_rviz_plugin,eligible,2,True,0,,,,,
autoware_behavior_velocity_template_module,eligible,3,True,0,,,,,
autoware_bluetooth_monitor,eligible,4,True,0,,,,,
autoware_cluster_merger,eligible,5,True,0,,,,,
autoware_component_monitor,eligible,6,True,0,,,,,
autoware_control_performance_analysis,eligible,7,True,0,,,,,
autoware_goal_distance_calculator,eligible,8,True,0,,,,,
autoware_image_diagnostics,eligible,9,True,0,,,,,
autoware_kinematic_evaluator,eligible,10,True,0,,,,,
autoware_localization_evaluator,eligible,11,True,0,,,,,
autoware_motion_velocity_dynamic_obstacle_stop_module,eligible,12,True,0,,,,,
autoware_motion_velocity_road_user_stop_module,eligible,13,True,0,,,,,
autoware_polar_grid,eligible,14,True,0,,,,,
autoware_pose2twist,eligible,15,True,0,,,,,
autoware_predicted_path_postprocessor,eligible,16,True,0,,,,,
autoware_radar_objects_adapter,eligible,17,True,0,,,,,
autoware_radar_scan_to_pointcloud2,eligible,18,True,0,,,,,
autoware_radar_static_pointcloud_filter,eligible,19,True,0,,,,,
autoware_radar_threshold_filter,eligible,20,True,0,,,,,
autoware_steer_offset_estimator,eligible,21,True,0,,,,,
autoware_time_utils,eligible,22,True,0,,,,,
autoware_traffic_light_recognition_marker_publisher,eligible,23,True,0,,,,,
autoware_trajectory_adapter,eligible,24,True,0,,,,,
autoware_trajectory_gate,eligible,25,True,0,,,,,
tier4_active_generator_rviz_plugin,eligible,26,True,0,,,,,
tier4_adapi_rviz_plugin,eligible,27,True,0,,,,,
tier4_control_mode_rviz_plugin,eligible,28,True,0,,,,,
tier4_datetime_rviz_plugin,eligible,29,True,0,,,,,
tier4_manual_lane_change_rviz_plugin,eligible,30,True,0,,,,,
tier4_perception_rviz_plugin,eligible,31,True,0,,,,,
autoware_diagnostic_graph_test_examples,eligible,32,False,0,autoware_diagnostic_graph_aggregator,,,,
autoware_motion_velocity_boundary_departure_prevention_module,eligible,33,False,0,autoware_deprecated_boundary_departure_checker,,,,
autoware_motion_velocity_obstacle_velocity_limiter_module,eligible,34,False,0,autoware_grid_map_utils,,,,
autoware_tensorrt_bevformer,eligible,35,False,0,autoware_cuda_dependency_meta,,,,
autoware_command_mode_decider_plugins,eligible,36,False,0,autoware_command_mode_decider;autoware_command_mode_types,,,,
autoware_command_mode_switcher_plugins,eligible,37,False,0,autoware_command_mode_switcher;autoware_command_mode_types,,,,
autoware_minimum_rule_based_planner,eligible,38,False,0,autoware_obstacle_proximity_checker;autoware_trajectory_processor,,,,
autoware_tensorrt_vad,eligible,39,False,0,autoware_tensorrt_common;autoware_tensorrt_plugins,,,,
autoware_trajectory_selector,eligible,40,False,0,autoware_trajectory_concatenator;autoware_trajectory_validator,,,,
autoware_calibration_status_classifier,eligible,41,False,0,autoware_cuda_utils;autoware_image_transport_decompressor;autoware_tensorrt_common,,,,
autoware_lidar_frnet,eligible,42,False,0,autoware_cuda_dependency_meta;autoware_cuda_utils;autoware_tensorrt_common,,,,
autoware_behavior_path_external_request_lane_change_module,eligible,43,False,0,autoware_behavior_path_lane_change_module;autoware_behavior_path_planner;autoware_behavior_path_planner_common;autoware_rtc_interface,,,,
autoware_camera_streampetr,eligible,44,False,0,autoware_cuda_dependency_meta;autoware_cuda_utils;autoware_tensorrt_common;perception_utils,,,,
autoware_topic_state_monitor,eligible,45,False,1,,,,,
autoware_trajectory_concatenator,eligible,46,False,1,,,,,
autoware_tensorrt_classifier,eligible,47,False,1,autoware_cuda_dependency_meta;autoware_cuda_utils;autoware_tensorrt_common,,,,
autoware_trajectory_validator,eligible,48,False,1,autoware_boundary_departure_checker;autoware_traffic_light_compliance_checker;autoware_traffic_light_utils,,,,
autoware_landmark_manager,eligible,49,False,2,,,,,
autoware_boundary_departure_checker,eligible,50,False,2,autoware_universe_utils,,,,
autoware_obstacle_proximity_checker,eligible,51,False,3,autoware_universe_utils,,,,
autoware_traffic_light_compliance_checker,eligible,52,False,4,autoware_traffic_light_utils,,,,
autoware_trajectory_follower_base,eligible,53,False,5,,,,,
autoware_planning_validator_test_utils,eligible,54,False,6,,,,,
autoware_behavior_velocity_rtc_interface,eligible,55,False,8,autoware_rtc_interface,,,,
autoware_component_interface_specs_universe,eligible,56,False,9,,,,,
autoware_behavior_path_side_shift_module,eligible,57,False,11,autoware_behavior_path_planner;autoware_behavior_path_planner_common,src/universe/autoware_universe/planning/behavior_path_planner/autoware_behavior_path_planner/design/BehaviorPathPlanner.node.yaml:79,,,
autoware_behavior_path_lane_change_module,eligible,58,False,11,autoware_behavior_path_planner;autoware_behavior_path_planner_common;autoware_frenet_planner;autoware_rtc_interface,src/universe/autoware_universe/planning/behavior_path_planner/autoware_behavior_path_planner/design/BehaviorPathPlanner.node.yaml:63,,,
autoware_behavior_path_start_planner_module,eligible,59,False,11,autoware_behavior_path_planner;autoware_behavior_path_planner_common;autoware_freespace_planning_algorithms;autoware_rtc_interface,src/universe/autoware_universe/planning/behavior_path_planner/autoware_behavior_path_planner/design/BehaviorPathPlanner.node.yaml:67,,,
autoware_behavior_path_avoidance_by_lane_change_module,eligible,60,False,11,autoware_behavior_path_lane_change_module;autoware_behavior_path_planner;autoware_behavior_path_planner_common;autoware_behavior_path_static_obstacle_avoidance_module;autoware_rtc_interface,src/universe/autoware_universe/planning/behavior_path_planner/autoware_behavior_path_planner/design/BehaviorPathPlanner.node.yaml:71,,,
autoware_behavior_path_sampling_planner_module,eligible,61,False,11,autoware_behavior_path_planner;autoware_behavior_path_planner_common;autoware_bezier_sampler;autoware_frenet_planner;autoware_path_sampler,src/universe/autoware_universe/planning/behavior_path_planner/autoware_behavior_path_planner/design/BehaviorPathPlanner.node.yaml:77,,,
autoware_pcl_extensions,eligible,62,False,13,,,,,
autoware_bezier_sampler,eligible,63,False,13,autoware_sampler_common,,,,
autoware_frenet_planner,eligible,64,False,13,autoware_sampler_common,,,,
autoware_freespace_planning_algorithms,eligible,65,False,14,,,,,
autoware_sampler_common,eligible,66,False,15,,,,,
autoware_deprecated_boundary_departure_checker,eligible,67,False,16,,,,,
autoware_fake_test_node,eligible,68,False,20,,,,,
autoware_rtc_interface,eligible,69,False,22,,,,,
autoware_cuda_dependency_meta,eligible,70,False,29,,,,,
