Rank,Package,Score,Tier,Launch_Reachable,Launch_Path,Standalone,Internal_Recursive_Dependent_Count,Internal_Direct_Dependent_Count,Internal_Prerequisite_Count,Internal_Prerequisites,External_Manifest_Dependent_Count,External_High_Reference_Count,External_Review_Reference_Count,Source_Path
1,autoware_adapi_visualizers,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/system/autoware_default_adapi_helpers/autoware_adapi_visualizers
2,autoware_bag_time_manager_rviz_plugin,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/visualization/autoware_bag_time_manager_rviz_plugin
3,autoware_behavior_velocity_template_module,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/planning/behavior_velocity_planner/autoware_behavior_velocity_template_module
4,autoware_bluetooth_monitor,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/system/autoware_bluetooth_monitor
5,autoware_cluster_merger,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/perception/autoware_cluster_merger
6,autoware_component_monitor,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/system/autoware_component_monitor
7,autoware_control_performance_analysis,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/control/autoware_control_performance_analysis
8,autoware_goal_distance_calculator,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/common/autoware_goal_distance_calculator
9,autoware_image_diagnostics,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/sensing/autoware_image_diagnostics
10,autoware_kinematic_evaluator,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/evaluator/autoware_kinematic_evaluator
11,autoware_localization_evaluator,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/evaluator/autoware_localization_evaluator
12,autoware_motion_velocity_dynamic_obstacle_stop_module,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/planning/motion_velocity_planner/autoware_motion_velocity_dynamic_obstacle_stop_module
13,autoware_motion_velocity_road_user_stop_module,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/planning/motion_velocity_planner/autoware_motion_velocity_road_user_stop_module
14,autoware_polar_grid,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/common/autoware_polar_grid
15,autoware_pose2twist,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/localization/autoware_pose2twist
16,autoware_predicted_path_postprocessor,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/perception/autoware_predicted_path_postprocessor
17,autoware_radar_objects_adapter,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/sensing/autoware_radar_objects_adapter
18,autoware_radar_scan_to_pointcloud2,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/sensing/autoware_radar_scan_to_pointcloud2
19,autoware_radar_static_pointcloud_filter,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/sensing/autoware_radar_static_pointcloud_filter
20,autoware_radar_threshold_filter,100,ready,False,,True,0,0,0,,0,0,0,src/universe/autoware_universe/sensing/autoware_radar_threshold_filter
